Fecha,GDP_UK,GDP_China,GDP_UKR,GDP_MX,GDP_Russia
2000,1.66E+12,1.21E+12,"3,24E+14","3,24E+14","3,24E+14"
2001,1.64E+12,1.34E+12,"3,93E+13","3,93E+13","3,93E+13"
2002,1.78E+12,1.47E+12,"4,40E+14","4,40E+14","4,40E+14"
2003,2.06E+12,1.66E+12,"5,20E+13","5,20E+13","5,20E+13"
2004,2.42E+12,1.96E+12,"6,72E+13","6,72E+13","6,72E+13"
2005,2.54E+12,2.29E+12,"8,92E+14","8,92E+14","8,92E+14"
2006,2.72E+12,2.75E+12,1.12E+11,1.12E+11,1.12E+11
2007,3.11E+12,3.55E+12,1.49E+11,1.49E+11,1.49E+11
2008,2.94E+12,4.59E+12,1.88E+11,1.88E+11,1.88E+11
2009,2.43E+12,5.10E+12,1.22E+11,1.22E+11,1.22E+11
2010,2.49E+12,6.09E+12,1.41E+11,1.41E+11,1.41E+11
2011,2.67E+12,7.55E+12,1.69E+11,1.69E+11,1.69E+11
2012,2.72E+12,8.53E+12,1.83E+11,1.83E+11,1.83E+11
2013,2.80E+12,9.57E+12,1.90E+11,1.90E+11,1.90E+11
2014,3.09E+12,1.05E+13,1.34E+11,1.34E+11,1.34E+11
2015,2.96E+12,1.11E+13,"9,10E+14","9,10E+14","9,10E+14"
