"","Fecha","Tasa"
"1",2006-09-19,7.05
"2",2006-09-26,7.05
"3",2006-10-03,7.05
"4",2006-10-10,7.06
"5",2006-10-17,7.05
"6",2006-10-24,7.04
"7",2006-10-30,7.04
"8",2006-11-07,7.04
"9",2006-11-14,7.04
"10",2006-11-21,7.04
"11",2006-11-28,7.05
"12",2006-12-05,7.04
"13",2006-12-11,7.03
"14",2006-12-19,7.05
"15",2006-12-26,7.02
"16",2007-01-02,7.01
"17",2007-01-09,7.02
"18",2007-01-16,7.05
"19",2007-01-23,7.06
"20",2007-01-30,7.05
"21",2007-02-06,7.05
"22",2007-02-13,7.03
"23",2007-02-20,7.03
"24",2007-02-27,7.05
"25",2007-03-06,7.05
"26",2007-03-13,7.05
"27",2007-03-20,7.04
"28",2007-03-27,7.03
"29",2007-04-02,7.02
"30",2007-04-10,7
"31",2007-04-17,7
"32",2007-04-24,7
"33",2007-04-30,7.25
"34",2007-05-08,7.24
"35",2007-05-15,7.23
"36",2007-05-22,7.24
"37",2007-05-29,7.22
"38",2007-06-05,7.21
"39",2007-06-12,7.2
"40",2007-06-19,7.18
"41",2007-06-26,7.19
"42",2007-07-03,7.18
"43",2007-07-10,7.18
"44",2007-07-17,7.19
"45",2007-07-24,7.19
"46",2007-07-31,7.19
"47",2007-08-07,7.19
"48",2007-08-14,7.21
"49",2007-08-21,7.2
"50",2007-08-28,7.23
"51",2007-09-04,7.21
"52",2007-09-11,7.2
"53",2007-09-18,7.22
"54",2007-09-25,7.19
"55",2007-10-02,7.19
"56",2007-10-09,7.21
"57",2007-10-16,7.2
"58",2007-10-23,7.2
"59",2007-10-30,7.45
"60",2007-11-06,7.43
"61",2007-11-13,7.41
"62",2007-11-20,7.46
"63",2007-11-27,7.44
"64",2007-12-04,7.44
"65",2007-12-10,7.43
"66",2007-12-18,7.44
"67",2007-12-24,7.44
"68",2007-12-31,7.43
"69",2008-01-08,7.42
"70",2008-01-15,7.41
"71",2008-01-22,7.39
"72",2008-01-29,7.43
"73",2008-02-05,7.42
