id,anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
0,2018,4,Diciembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 10-2,25/06/10,12/06/20,3640,529,2520951200,0,0,201367979.7,201367979.7,2520951200,0,7.9,,7.9
1,2018,4,Diciembre,224/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,457",30/08/07,27/07/37,10924,6783,3457974221,0,14809395.11,286096648.7,300906043.8,3389145884,-14809395.11,TIIE,0.35,TIIE+0.35
2,2018,4,Diciembre,225/2007,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 7000,31/08/07,27/08/40,12050,7910,7000000000,0,108919450.9,580949162.9,689868613.7,6371209229,-108919450.9,8.91,,8.91
3,2018,4,Diciembre,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",31/08/07,27/07/37,10923,6783,4700000000,0,20128593.44,401869662.7,421998256.2,4606450089,-20128593.44,8.8,,8.8
4,2018,4,Diciembre,513/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,914",26/12/08,25/10/19,3955,298,1914680897,0,320373500.5,24450927.96,344824428.5,127743305,-320373500.5,TIIE,0.97,TIIE+0.97
5,2018,4,Diciembre,562/2010,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,499",28/12/10,25/10/40,10894,7969,1499069398,0,95833334.11,115783489.1,211616823.2,1199069398,-95833334.11,9.13,,9.13
6,2018,4,Diciembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,19/09/17,07/03/28,3822,3354,2000000000,0,0,153688888.9,153688888.9,2000000000,0,7.6,,7.6
7,2018,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cup贸n Cero,BANOBRAS,"BANOBRAS 2,138",12/11/12,25/11/32,7318,5078,2138648319,0,0,172817635.9,172817635.9,2138648319,0,7.09,0.88,7.97
8,2018,4,Diciembre,P09-1113146,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 13,28/11/13,16/11/23,3640,1781,2126874900,0,0,151610732.5,151610732.5,2126874900,0,7.05,,7.05
9,2018,4,Diciembre,P09-1213198,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 3,500",31/12/13,26/12/23,3647,1821,3500000000,0,437500000.1,142669512.1,580169512.2,2187500000,-437500000.1,5.74,,5.74
