Nombre,Direccion,Latitud,Longitud,Estrellas,Tipo_hospedaje,Impuestos,Precio_final
Camino Real Pedregal,Av. Periferico 3647,19.506948,-99.10034,5,"1 noche, 1 persona",277,1693
Hotel Royal Pedregal,Periférico Sur 4363,19.3036353500082,-99.2002855637111,5,"1 noche, 1 persona",237,1447
Fiesta Americana México Toreo,Boulevard Manuel Avila Camacho 5,19.453637,-99.21837,5,"1 noche, 1 persona",333,2040
Fiesta Americana Reforma,"PASEO DE LA REFORMA,80",19.431929,-99.154744,5,"1 noche, 1 persona",276,1687
Hotel Corinto,Ignacio Vallarta # 24,19.434446,-99.155747,4,"1 noche, 1 persona",96,578
Camino Real Santa Fe México,Guillermo Gonzalez Camarena 300,19.367756,-99.261636,5,"1 noche, 1 persona",281,1717
Sofitel Mexico City Reforma (Opening September 2019),297 Avenue Paseo de la Reforma,19.4284,-99.1658,5,"1 noche, 1 persona",781,4783
City Express Ciudad de México Aeropuerto,Boulevard Puerto Aereo No. 90 ,19.4226227,-99.0952393,4,"1 noche, 1 persona",236,1443
ibis México Alameda,Balderas No 49,19.4333,-99.147717,4,"1 noche, 1 persona",139,850
Krystal Satelite Maria Barbara,Blvd. Manuel Avila Camacho No. 2300,19.5223925386287,-99.2282983660698,5,"1 noche, 1 persona",186,1132
Hotel Arizona,"Av. de la Republica No. 20, Col. Tabacalera",19.4363234,-99.1568449,3,"1 noche, 1 persona",62,372
JW Marriott Hotel Mexico City Santa Fe,Av. Santa Fe 160 Col. Santa Fe,19.3676723475997,-99.2604052407532,5,"1 noche, 1 persona",343,2097
Stadia Suites Santa Fe,Juan Salvador Agraz No. 60,19.358876,-99.277321100235,4,"1 noche, 1 persona",241,1476
Holiday Inn Express Hotel & Suites WTC,"Dakota #95, Junto al centro de exposiciones WTC",19.395766789953,-99.1745674609865,4,"1 noche, 1 persona",274,1674
Residence L'Heritage Tennyson by BlueBay,Tennyson 79 Col. Polanco ,19.4305137023664,-99.1951498354319,4,"1 noche, 1 persona",264,1643
Hilton Mexico City Reforma,Av. Juarez  70. Colonia Centro 70,19.435125,-99.146581,4,"1 noche, 1 persona",391,2442
Holiday inn Mexico Buenavista,"Mariano Azuela 12, col. Sta. Maria La ribera",19.442636554475,-99.1552704576721,5,"1 noche, 1 persona",206,1256
