Nombre,Rating,Latitud,Longitud,Oferta_1,Precio_1,Oferta_2,Precio_2,Oferta_3,Precio_3
Fiesta Americana Reforma,8,19.43251,-99.15483,Expedia,1392,travelclick,1398,Booking.com,1407
Fiesta Inn Centro Historico,8.6,19.43463,-99.147,Booking.com,1112,travelclick,1071,Expedia,1100
Grand Prix,8.2,19.40227,-99.09749,Booking.com,1053,Expedia,1053,Hoteles.com,1053
Castropol,8.5,19.42698,-99.13278,Booking.com,528,Expedia,586,Hoteles.com,586
ibis Mexico Alameda Hotel,7.8,19.4333,-99.1477,Booking.com,715,ibis,715,Expedia,715
Hospedaje Puerto Mexico Aeropuerto,6.5,19.43529,-99.08635,Booking.com,527,Expedia,527,Hoteles.com,527
Holiday Inn Mexico Dali Airport,8.6,19.40583,-99.11913,Booking.com,1105,Holiday Inn,1105,Hoteles.com,1105
Casa Blanca,8,19.43488,-99.15356,Booking.com,984,as_Roiback,963,Expedia,973
Fiesta Inn Cd De Mexico Forum Buenavista,9.1,19.44916,-99.15212,Booking.com,844,travelclick,814,Expedia,835
Fontán Reforma,7.7,19.43636,-99.14765,Booking.com,709,Expedia,709,Hoteles.com,709
Abastos Plaza,8.4,19.3843,-99.08259,Booking.com,838,Expedia,838,Hoteles.com,838
Holiday Inn Mexico Buenavista,9,19.44258,-99.15534,Booking.com,901,Holiday Inn,901,Hoteles.com,901
Diligencias,7.8,19.43861,-99.13966,Booking.com,553,Expedia,553,Hoteles.com,553
Plaza Solís,7.8,19.40967,-99.13905,Booking.com,402,Despegar,425,Expedia,425
Hyatt Regency Mexico City,9.1,19.42723,-99.19287,Hoteles.com,3957,Expedia,3957,Booking.com,4001
City Express Plus Reforma El Ángel,7.9,19.42645,-99.16691,Booking.com,1273,Expedia,1273,Destinia,1214
Hilton Mexico City Reforma,9,19.43463,-99.14629,Booking.com,2010,Hilton,2135,Expedia,1989
Nh Aeropuerto Terminal 2 Mexico,8.5,19.42136,-99.07717,ZenHotels.com,2489,,NA,,NA
Stanza Hotel,8.3,19.41944,-99.15515,Booking.com,986,Expedia,986,Hoteles.com,986
Fairfield Inn & Suites by Marriott Mexico City Vallejo,8.9,19.48833,-99.15186,Fairfield Inn,859,Booking.com,744,Hoteles.com,855
Sport Aristos  Boutique,7.2,19.41485,-99.07149,Destinia,856,Booking.com,1201,lol.travel,898
El Ejecutivo,8.1,19.43054,-99.15772,Booking.com,819,Expedia,819,Hoteles.com,819
Villas Princess,6.9,19.40532,-99.11545,Booking.com,651,Expedia,649,Hoteles.com,649
Hotel PF Suites,8,19.42541,-99.16165,Booking.com,851,Expedia,851,Hoteles.com,851
Novit Hotel,9.1,19.37464,-99.11179,Hoteles.com,1213,Booking.com,1226,Expedia,1213
Camino Real Aeropuerto,7.8,19.43538,-99.08526,Hoteles.com,1908,Expedia,1908,PriceTravel,1555
NH Collection Mexico City Airport T2,7.9,19.43705,-99.07346,Expedia,2293,NH Collection,2062,Hoteles.com,2293
Hotel Hilton Mexico City Airport,7.7,19.43645,-99.0806,Hoteles.com,2486,Hilton,2512,Expedia,2486
We Hotel Aeropuerto,7.9,19.43319,-99.08924,Booking.com,1237,Expedia,1106,Hoteles.com,1106
City Express Aeropuerto Ciudad De México,8.3,19.42258,-99.09499,Booking.com,1200,Expedia,1200,Hoteles.com,1200
Hotel Courtyard Mexico City Airport,8.9,19.43656,-99.08268,Booking.com,1864,Courtyard,1852,Expedia,1844
Fiesta Inn Aeropuerto Ciudad de México,8.2,19.43516,-99.08901,Booking.com,1506,travelclick,1451,Hoteles.com,1490
Hotel W Mexico City,8.5,19.42756,-99.19508,Hoteles.com,2943,W Hotels,2956,Expedia,2943
Barceló México Reforma,8.6,19.43525,-99.15097,Expedia,1461,Barcelo.com,1468,Booking.com,1509
MX aeropuerto,8.4,19.41765,-99.09337,Booking.com,1126,Expedia,1126,Destinia,555
Gran Hotel Ciudad de México,9.3,19.43213,-99.13488,Booking.com,2334,travelclick,2576,Expedia,2309
Krystal Urban Aeropuerto Ciudad de Mexico,8.3,19.38329,-99.076,Booking.com,901,Expedia,901,Hoteles.com,901
izZzleep,8.4,19.4373,-99.07167,Booking.com,729,Agoda,729,,NA
Fiesta Inn Plaza Central Aeropuerto,8.6,19.37691,-99.09559,Booking.com,971,travelclick,936,Expedia,960
