"","raz_social","X","id","nom_estab","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","ctarfc"
"1","ABECOR SA DE CV",341,6323721,"HOTEL HUIPULCO",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","HUIPULCO","CALLE","MÉXICO-XOCHIMILCO","CALZADA","CALZADA DE TLALPAN","CALZADA","CALZADA DE TLALPAN",13,"","","",0,"","COLONIA","SAN LORENZO HUIPULCO","EDIFICIO COMERCIAL Y DE SERVICIOS","","",14370,9,"CIUDAD DE MÉXICO",12,"Tlalpan",1,"Tlalpan","430",1,NA,"HOTELHUIPULCO@OUTLOOK.COM","","Fijo",19.29554613,-99.1530941,"2010-07","ABE930423DN2"
"2","ACCOR MEXICO HOTELS SA DE CV",771,6311017,"NOVOTEL MÉXICO SANTA FÉ",721111,"Hoteles con otros servicios integrados","101 a 250 personas","CALLE","ANTONIO DOVALÍ JAIME","AVENIDA","SANTA FE","CALLE","NINGUNO","CALLE","2",75,"","","",0,"","COLONIA","SANTA FÉ","","","",1210,9,"CIUDAD DE MÉXICO",10,"Álvaro Obregón",1,"Álvaro Obregón","1542",36,NA,"ALVARO.VALLE@ACCORINVEST.COM","","Fijo",19.3672397,-99.25982921,"2010-07","AMH1704275N9"
"3","ACCOR MEXICO HOTELS SA DE CV",2,6872782,"ACCOR MEXICO HOTELS",721111,"Hoteles con otros servicios integrados","11 a 30 personas","AVENIDA","PASEO DE LA REFORMA","AVENIDA","CHAPULTEPEC","CIRCUITO","INTERIOR","CALLE","SIN NOMBRE",373,"","EDIFICIO SIN NOMBRE","PISO 1",0,"","COLONIA","CUAUTEMOC","","","",6500,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","930",4,NA,"ALVARO.VALLE@ACCORINVEST.COM","","Fijo",19.42649969,-99.16959245,"2019-04","AMH1704275N9"
"4","ADMINISTRACIONES CEDRO SA DE CV",486,6232513,"HOTEL ONE ALAMEDA",721111,"Hoteles con otros servicios integrados","31 a 50 personas","AVENIDA","JUÁREZ","CALLE","HUMBOLDT","AVENIDA","BALDERAS","CALLE","ARTÍCULO 123",88,"","","",0,"","COLONIA","CENTRO","","","",6040,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","733",7,NA,"CONTRALOR1XALA@POSADAS.COM","WWW.ONEHOTELES.COM","Fijo",19.43502911,-99.14776199,"2010-07","ACE751118ED6"
"5","ADMINISTRADORA CALDEVILLA SA DE CV",750,6259002,"MOTEL QUETZALLI SUITES",721113,"Moteles","6 a 10 personas","CALZADA","CALZADA DE TLALPAN","CALLE","EMPERADORES","EJE VIAL","7A SUR (GENERAL EMILIANO ZAPATA)","CALLE","ARAGÓN",571,"","","",NA,"","COLONIA","ÁLAMOS","","","",3400,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","115",21,NA,"HOTELQUETZALLI@LIVE.COM.MX","","Fijo",19.39733803,-99.13773118,"2010-07","ACA0909143U5"
"6","ADMINISTRADORA DE HOTELES COMONFORT SA DE CV SA",271,6325322,"HOTEL EMBAJADORES",721112,"Hoteles sin otros servicios integrados","6 a 10 personas","EJE VIAL","1 NORTE (IGNACIO LOPEZ RAYON)","CALLE","ALLENDE","CALLE","COMONFORT","CALLE","REPÚBLICA DE ECUADOR",NA,"SN","MERCADO PUBLICO","PLANTA BAJA",NA,"","COLONIA","CENTRO (AREA 1)","MERCADO PUBLICO","MERCADO 1 LAGUNILLA ROPA Y TELAS","SN",6010,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","536",2,NA,"","","Fijo",19.4436413,-99.13686328,"2010-07","AHC730514IZ5"
"7","ADMINISTRADORA DE HOTELES GRT SA DE CV",22,6870208,"CAMINO REAL PEDREGAL",721111,"Hoteles con otros servicios integrados","101 a 250 personas","PERIFERICO","PERIFERICO SUR","CALLE","ROBERTO FULTON","CALLE","FERNANDO  MONTES DE OCA","CALLE","HENRY FORD",3647,"","","",NA,"","COLONIA","HEROES DE PADIERNA","","","",10700,9,"CIUDAD DE MÉXICO",8,"La Magdalena Contreras",1,"La Magdalena Contreras","283",31,NA,"JORGE.ROBLES@CAMINOREAL.COM.MX","WWW.CAMINOREAL.COM.MX","Fijo",19.31408667,-99.22093259,"2019-04","AHG130507626"
"8","ADMINISTRADORA DE HOTELES GRT SA DE CV",23,6315143,"CAMINO REAL POLANCO MEXICO",721111,"Hoteles con otros servicios integrados","251 y más personas","AVENIDA","GENERAL MARIANO ESCOBEDO","CALLE","EMMANUEL KANT","CALLE","VÍCTOR HUGO","CALLE","LEIBNITZ",700,"","","",0,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","068A",22,NA,"","","Fijo",19.42765046,-99.17949611,"2010-07","AHG130507626"
"9","ADMINISTRADORA DE HOTELES GRT SA DE CV",24,6317395,"CAMINO REAL SANTA FE",721111,"Hoteles con otros servicios integrados","101 a 250 personas","AVENIDA","GUILLERMO GONZÁLEZ CAMARENA","CALLE","SANTA FE","CALLE","ERNESTO DOMÍNGUEZ A.","CALLE","SANTA FE",300,"","","",NA,"","COLONIA","CENTRO CIUDAD SANTA FE","","","",1210,9,"CIUDAD DE MÉXICO",10,"Álvaro Obregón",1,"Álvaro Obregón","1542",41,NA,"","","Fijo",19.36780209,-99.26149239,"2011-03","AHG130507626"
"10","ADMINISTRADORA DE HOTELES GRT SA DE CV",3,6869695,"ADMINISTRADORA DE HOTELES GRT",721111,"Hoteles con otros servicios integrados","0 a 5 personas","AVENIDA","GENERAL MARIANO ESCOBEDO","CALLE","EMMANUEL KANT","CALLE","VÍCTOR HUGO","CALLE","LEIBNITZ",700,"","","",NA,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","068A",22,NA,"","","Fijo",19.42765558,-99.17949844,"2019-04","AHG130507626"
