"","Fecha","Pesos por dólar canadiense"
"1",1996-10-16,5.767
"2",1996-10-17,5.7405
"3",1996-10-18,5.7274
"4",1996-10-21,5.7405
"5",1996-10-22,5.777
"6",1996-10-23,5.8445
"7",1996-10-24,5.8241
"8",1996-10-25,5.9242
"9",1996-10-28,5.872
"10",1996-10-29,5.8858
"11",1996-10-30,5.9595
"12",1996-10-31,5.9844
"13",1996-11-01,5.9773
"14",1996-11-04,5.9312
"15",1996-11-05,5.9207
"16",1996-11-06,5.9453
"17",1996-11-07,5.9666
"18",1996-11-08,5.9418
"19",1996-11-11,5.9418
"20",1996-11-12,5.9312
"21",1996-11-13,5.9382
"22",1996-11-14,5.9312
"23",1996-11-15,5.9067
"24",1996-11-18,5.8962
"25",1996-11-19,5.8858
"26",1996-11-21,5.8928
"27",1996-11-22,5.8754
"28",1996-11-25,5.8962
"29",1996-11-26,5.872
"30",1996-11-27,5.8548
"31",1996-11-28,5.8548
"32",1996-11-29,5.8514
"33",1996-12-02,5.8411
"34",1996-12-03,5.8411
"35",1996-12-04,5.8173
"36",1996-12-05,5.8106
"37",1996-12-06,5.8275
"38",1996-12-09,5.8309
"39",1996-12-10,5.8038
"40",1996-12-11,5.8005
"41",1996-12-13,5.814
"42",1996-12-16,5.767
"43",1996-12-17,5.767
"44",1996-12-18,5.7438
"45",1996-12-19,5.7504
"46",1996-12-20,5.7339
"47",1996-12-23,5.7307
"48",1996-12-26,NA
"49",1996-12-27,5.7307
"50",1996-12-30,5.7471
"51",1996-12-31,5.7537
"52",1997-01-02,5.7504
"53",1997-01-03,5.7208
"54",1997-01-06,5.7372
"55",1997-01-07,5.777
"56",1997-01-08,5.777
"57",1997-01-09,5.787
"58",1997-01-10,5.8343
"59",1997-01-13,5.7904
"60",1997-01-14,5.777
"61",1997-01-15,5.8207
"62",1997-01-16,5.848
"63",1997-01-17,5.8377
"64",1997-01-20,5.8411
"65",1997-01-21,5.8343
"66",1997-01-22,5.8377
"67",1997-01-23,5.8106
"68",1997-01-24,5.8038
"69",1997-01-27,5.8241
"70",1997-01-28,5.8309
"71",1997-01-29,5.8241
"72",1997-01-30,5.8173
"73",1997-01-31,5.8005
"74",1997-02-03,5.8207
"75",1997-02-04,5.8309
"76",1997-02-06,5.8072
"77",1997-02-07,5.787
"78",1997-02-10,5.767
"79",1997-02-11,5.7471
"80",1997-02-12,5.7471
"81",1997-02-13,5.7571
"82",1997-02-14,5.767
"83",1997-02-17,5.7471
"84",1997-02-18,5.7405
"85",1997-02-19,5.7241
"86",1997-02-20,5.6915
"87",1997-02-21,5.6948
"88",1997-02-24,5.6883
"89",1997-02-25,5.698
"90",1997-02-26,5.698
"91",1997-02-27,5.7241
"92",1997-02-28,5.8207
"93",1997-03-03,5.8445
"94",1997-03-04,5.8173
"95",1997-03-05,5.8789
"96",1997-03-06,5.8685
"97",1997-03-07,5.8445
"98",1997-03-10,5.8038
"99",1997-03-11,5.8343
"100",1997-03-12,5.8377
"101",1997-03-13,5.8685
"102",1997-03-14,5.8514
"103",1997-03-17,5.8309
"104",1997-03-18,5.7837
"105",1997-03-19,5.7504
"106",1997-03-20,5.7571
"107",1997-03-24,5.7307
"108",1997-03-25,5.7241
"109",1997-03-26,5.7537
"110",1997-03-31,5.7274
"111",1997-04-01,5.7078
"112",1997-04-02,5.711
"113",1997-04-03,5.7372
"114",1997-04-04,5.7078
"115",1997-04-07,5.6915
"116",1997-04-08,5.6818
"117",1997-04-09,5.6818
"118",1997-04-10,5.6883
"119",1997-04-11,5.6689
"120",1997-04-14,5.6529
"121",1997-04-15,5.6465
"122",1997-04-16,5.6497
"123",1997-04-17,5.6402
"124",1997-04-18,5.6275
"125",1997-04-21,5.6338
"126",1997-04-22,5.637
"127",1997-04-23,5.6497
"128",1997-04-24,5.6338
"129",1997-04-25,5.6465
"130",1997-04-28,5.6625
"131",1997-04-29,5.7045
"132",1997-04-30,5.685
"133",1997-05-02,5.7208
"134",1997-05-06,5.7143
"135",1997-05-07,5.7372
"136",1997-05-08,5.7307
"137",1997-05-09,5.6818
"138",1997-05-12,5.7013
"139",1997-05-13,5.7013
"140",1997-05-14,5.6948
"141",1997-05-15,5.7274
"142",1997-05-16,5.7604
"143",1997-05-19,5.7604
"144",1997-05-20,5.7339
"145",1997-05-21,5.7471
"146",1997-05-22,5.7339
"147",1997-05-23,5.7274
"148",1997-05-26,5.7438
"149",1997-05-27,5.7307
"150",1997-05-28,5.7143
"151",1997-05-29,5.7241
"152",1997-05-30,5.7241
"153",1997-06-02,5.7438
"154",1997-06-03,5.7571
"155",1997-06-04,5.7637
"156",1997-06-05,5.7737
"157",1997-06-06,5.767
"158",1997-06-09,5.7604
