"","Fecha","Pesos por dólar"
"1",2016-01-04,17.3529
"2",2016-01-05,17.3456
"3",2016-01-06,17.4411
"4",2016-01-07,17.6568
"5",2016-01-08,17.9283
"6",2016-01-11,17.9304
"7",2016-01-12,17.9119
"8",2016-01-13,17.85
"9",2016-01-14,17.9121
"10",2016-01-15,18.2108
"11",2016-01-18,18.2327
"12",2016-01-19,18.1947
"13",2016-01-20,18.608
"14",2016-01-21,18.5084
"15",2016-01-22,18.428
"16",2016-01-25,18.5352
"17",2016-01-26,18.4715
"18",2016-01-27,18.453
"19",2016-01-28,18.2906
"20",2016-01-29,18.1935
"21",2016-02-02,18.4902
"22",2016-02-03,18.4537
"23",2016-02-04,18.1891
"24",2016-02-05,18.3748
"25",2016-02-08,18.6959
"26",2016-02-09,18.7818
"27",2016-02-10,18.8089
"28",2016-02-11,19.1754
"29",2016-02-12,19.0392
"30",2016-02-15,18.8471
"31",2016-02-16,18.8148
"32",2016-02-17,18.3895
"33",2016-02-18,18.1439
"34",2016-02-19,18.2762
"35",2016-02-22,18.0568
"36",2016-02-23,18.1948
"37",2016-02-24,18.2893
"38",2016-02-25,18.168
"39",2016-02-26,18.1706
"40",2016-02-29,18.102
"41",2016-03-01,17.9432
"42",2016-03-02,17.8561
"43",2016-03-03,17.8971
"44",2016-03-04,17.7723
"45",2016-03-07,17.7526
"46",2016-03-08,17.9044
"47",2016-03-09,17.7523
"48",2016-03-10,17.8601
"49",2016-03-11,17.7002
"50",2016-03-14,17.7691
"51",2016-03-15,17.926
"52",2016-03-16,17.9308
"53",2016-03-17,17.4034
"54",2016-03-18,17.2995
"55",2016-03-22,17.3361
"56",2016-03-23,17.5273
"57",2016-03-28,17.461
"58",2016-03-29,17.4015
"59",2016-03-30,17.2509
"60",2016-03-31,17.237
"61",2016-04-01,17.3338
"62",2016-04-04,17.4484
"63",2016-04-05,17.7252
"64",2016-04-06,17.7286
"65",2016-04-07,17.893
"66",2016-04-08,17.7391
"67",2016-04-11,17.6452
"68",2016-04-12,17.5719
"69",2016-04-13,17.49
"70",2016-04-14,17.388
"71",2016-04-15,17.5669
"72",2016-04-18,17.4598
"73",2016-04-19,17.2825
"74",2016-04-20,17.3078
"75",2016-04-21,17.4202
"76",2016-04-22,17.4359
"77",2016-04-25,17.5866
"78",2016-04-26,17.4298
"79",2016-04-27,17.3993
"80",2016-04-28,17.2125
"81",2016-04-29,17.1767
"82",2016-05-02,17.2279
"83",2016-05-03,17.5234
"84",2016-05-04,17.7358
"85",2016-05-05,17.7866
"86",2016-05-06,17.9204
"87",2016-05-09,18.1033
"88",2016-05-10,18.0205
"89",2016-05-11,17.9549
"90",2016-05-12,17.9915
"91",2016-05-13,18.1562
"92",2016-05-16,18.1795
"93",2016-05-17,18.3217
"94",2016-05-18,18.3761
"95",2016-05-19,18.5465
"96",2016-05-20,18.3826
"97",2016-05-23,18.4444
"98",2016-05-24,18.4694
