"","Fecha","Pesos por dólar"
"1",1991-11-14,3.0735
"2",1991-11-15,3.0712
"3",1991-11-16,3.0718
"4",1991-11-17,3.0718
"5",1991-11-18,3.0718
"6",1991-11-19,3.0684
"7",1991-11-20,3.0673
"8",1991-11-21,3.0673
"9",1991-11-22,3.0661
"10",1991-11-23,3.0632
"11",1991-11-24,3.0632
"12",1991-11-25,3.0632
"13",1991-11-26,3.0612
"14",1991-11-27,3.0622
"15",1991-11-28,3.076
"16",1991-11-29,3.0731
"17",1991-11-30,3.0677
"18",1991-12-01,3.0677
"19",1991-12-02,3.0677
"20",1991-12-03,3.0672
"21",1991-12-04,3.0662
"22",1991-12-05,3.0666
"23",1991-12-06,3.066
"24",1991-12-07,3.0654
"25",1991-12-08,3.0654
"26",1991-12-09,3.0654
"27",1991-12-10,3.0643
"28",1991-12-11,3.0625
"29",1991-12-12,3.0622
"30",1991-12-13,3.0622
"31",1991-12-14,3.0623
"32",1991-12-15,3.0623
"33",1991-12-16,3.0623
"34",1991-12-17,3.0622
"35",1991-12-18,3.0753
"36",1991-12-19,3.0756
"37",1991-12-20,3.076
"38",1991-12-21,3.0748
"39",1991-12-22,3.0748
"40",1991-12-23,3.0748
"41",1991-12-24,3.0774
"42",1991-12-25,3.0837
"43",1991-12-26,3.0837
"44",1991-12-27,3.0841
"45",1991-12-28,3.071
"46",1991-12-29,3.071
"47",1991-12-30,3.071
"48",1991-12-31,3.0739
"49",1992-01-01,3.0739
"50",1992-01-02,3.0739
"51",1992-01-03,3.078
"52",1992-01-04,3.0753
"53",1992-01-05,3.0753
"54",1992-01-06,3.0753
"55",1992-01-07,3.0744
"56",1992-01-08,3.0695
"57",1992-01-09,3.0665
"58",1992-01-10,3.0663
"59",1992-01-11,3.0662
"60",1992-01-12,3.0662
"61",1992-01-13,3.0662
"62",1992-01-14,3.0668
"63",1992-01-15,3.0661
"64",1992-01-16,3.0642
"65",1992-01-17,3.0646
"66",1992-01-18,3.0679
"67",1992-01-19,3.0679
"68",1992-01-20,3.0679
"69",1992-01-21,3.0657
"70",1992-01-22,3.0631
"71",1992-01-23,3.0625
"72",1992-01-24,3.0617
"73",1992-01-25,3.0736
"74",1992-01-26,3.0736
"75",1992-01-27,3.0736
"76",1992-01-28,3.0791
"77",1992-01-29,3.0687
"78",1992-01-30,3.0659
"79",1992-01-31,3.066
"80",1992-02-01,3.0685
"81",1992-02-02,3.0685
"82",1992-02-03,3.0685
"83",1992-02-04,3.0673
"84",1992-02-05,3.0656
"85",1992-02-06,3.0656
"86",1992-02-07,3.0645
"87",1992-02-08,3.0648
"88",1992-02-09,3.0648
"89",1992-02-10,3.0648
"90",1992-02-11,3.0645
"91",1992-02-12,3.0674
"92",1992-02-13,3.0644
"93",1992-02-14,3.0633
"94",1992-02-15,3.064
"95",1992-02-16,3.064
"96",1992-02-17,3.064
"97",1992-02-18,3.0634
"98",1992-02-19,3.0621
"99",1992-02-20,3.0618
"100",1992-02-21,3.0608
"101",1992-02-22,3.0621
"102",1992-02-23,3.0621
"103",1992-02-24,3.0621
"104",1992-02-25,3.061
"105",1992-02-26,3.0621
"106",1992-02-27,3.0609
"107",1992-02-28,3.0608
"108",1992-02-29,3.0608
"109",1992-03-01,3.0608
"110",1992-03-02,3.0608
"111",1992-03-03,3.0609
"112",1992-03-04,3.0611
"113",1992-03-05,3.0625
"114",1992-03-06,3.0606
"115",1992-03-07,3.0609
"116",1992-03-08,3.0609
"117",1992-03-09,3.0609
"118",1992-03-10,3.0608
"119",1992-03-11,3.0612
"120",1992-03-12,3.0612
"121",1992-03-13,3.0608
"122",1992-03-14,3.061
"123",1992-03-15,3.061
"124",1992-03-16,3.061
