"","Fecha","Pesos por euros"
"1",1999-01-04,11.6054
"2",1999-01-05,11.5586
"3",1999-01-06,11.4891
"4",1999-01-07,11.4951
"5",1999-01-08,11.4335
"6",1999-01-11,11.5178
"7",1999-01-12,11.5884
"8",1999-01-13,12.3946
"9",1999-01-14,12.2803
"10",1999-01-15,12.0508
"11",1999-01-18,11.8394
"12",1999-01-19,11.9506
"13",1999-01-20,11.7831
"14",1999-01-21,11.8984
"15",1999-01-22,11.8054
"16",1999-01-25,11.8458
"17",1999-01-26,11.8316
"18",1999-01-27,11.7241
"19",1999-01-28,11.6211
"20",1999-01-29,11.5607
"21",1999-02-01,11.4821
"22",1999-02-02,11.4001
"23",1999-02-03,11.461
"24",1999-02-04,11.4031
"25",1999-02-08,11.3494
"26",1999-02-09,11.4055
"27",1999-02-10,11.4057
"28",1999-02-11,11.2956
"29",1999-02-12,11.1842
"30",1999-02-15,11.1739
"31",1999-02-16,11.0944
"32",1999-02-17,11.1522
"33",1999-02-18,11.1032
"34",1999-02-19,11.0965
"35",1999-02-22,10.9078
"36",1999-02-23,10.9362
"37",1999-02-24,10.9412
"38",1999-02-25,11.0139
"39",1999-02-26,10.9564
"40",1999-03-01,10.885
"41",1999-03-02,10.8237
"42",1999-03-03,10.8758
"43",1999-03-04,10.7758
"44",1999-03-05,10.6976
"45",1999-03-08,10.7372
"46",1999-03-09,10.6378
"47",1999-03-10,10.7362
"48",1999-03-11,10.6185
"49",1999-03-12,10.6656
"50",1999-03-15,10.6244
"51",1999-03-16,10.4971
"52",1999-03-17,10.6189
"53",1999-03-18,10.6127
"54",1999-03-19,10.5588
"55",1999-03-22,10.5419
"56",1999-03-23,10.5428
"57",1999-03-24,10.594
"58",1999-03-25,10.5077
"59",1999-03-26,10.3803
"60",1999-03-29,10.2247
"61",1999-03-30,10.2186
"62",1999-03-31,10.2255
"63",1999-04-05,NA
"64",1999-04-06,10.1656
"65",1999-04-07,10.267
"66",1999-04-08,10.2419
"67",1999-04-09,10.3099
"68",1999-04-12,10.374
"69",1999-04-13,10.2587
"70",1999-04-14,10.2625
"71",1999-04-15,10.2893
"72",1999-04-16,10.1761
"73",1999-04-19,9.9836
"74",1999-04-20,10.0164
"75",1999-04-21,9.9224
"76",1999-04-22,9.8897
"77",1999-04-23,9.8929
"78",1999-04-26,9.8781
"79",1999-04-27,9.919
"80",1999-04-28,9.8982
"81",1999-04-29,9.8189
"82",1999-04-30,9.7929
"83",1999-05-03,NA
"84",1999-05-04,9.8045
"85",1999-05-06,10.0834
"86",1999-05-07,10.0828
"87",1999-05-10,9.9836
"88",1999-05-11,9.9436
"89",1999-05-12,9.9336
"90",1999-05-13,9.8686
"91",1999-05-14,9.9824
"92",1999-05-17,9.9948
"93",1999-05-18,9.939
"94",1999-05-19,9.895
"95",1999-05-20,9.9256
"96",1999-05-21,9.9186
"97",1999-05-24,9.9279
"98",1999-05-25,10.1387
"99",1999-05-26,10.2112
"100",1999-05-27,10.1915
"101",1999-05-28,10.2686
"102",1999-05-31,NA
"103",1999-06-01,10.2357
"104",1999-06-02,10.1266
"105",1999-06-03,10.0079
"106",1999-06-04,9.9237
"107",1999-06-07,9.7849
"108",1999-06-08,9.856
"109",1999-06-09,10.0292
"110",1999-06-10,10.0362
"111",1999-06-11,10.0196
"112",1999-06-14,10.0077
"113",1999-06-15,9.8771
"114",1999-06-16,9.7763
"115",1999-06-17,9.7226
"116",1999-06-18,9.6375
"117",1999-06-21,9.7185
"118",1999-06-22,9.6828
"119",1999-06-23,9.6963
"120",1999-06-24,9.7844
"121",1999-06-25,9.9102
"122",1999-06-28,9.8575
"123",1999-06-29,9.7546
"124",1999-06-30,9.7477
"125",1999-07-01,9.6971
"126",1999-07-02,9.5654
"127",1999-07-05,9.5338
"128",1999-07-06,9.5255
"129",1999-07-07,9.5753
"130",1999-07-08,9.5104
"131",1999-07-09,9.5309
"132",1999-07-12,9.549
"133",1999-07-13,9.617
"134",1999-07-14,9.5032
"135",1999-07-15,9.5173
"136",1999-07-16,9.535
"137",1999-07-19,9.4403
"138",1999-07-20,9.6547
"139",1999-07-21,9.7651
"140",1999-07-22,9.8658
"141",1999-07-23,9.8624
"142",1999-07-26,10.0662
"143",1999-07-27,9.9479
"144",1999-07-28,9.9428
"145",1999-07-29,10.0679
"146",1999-07-30,10.0487
"147",1999-08-02,10.036
"148",1999-08-03,10.0698
"149",1999-08-04,10.163
"150",1999-08-05,10.2648
"151",1999-08-06,10.197
"152",1999-08-09,10.142
"153",1999-08-10,10.224
"154",1999-08-11,10.059
"155",1999-08-12,9.9454
"156",1999-08-13,10.0136
"157",1999-08-16,9.8958
"158",1999-08-17,9.8148
"159",1999-08-18,9.8093
"160",1999-08-19,9.8629
"161",1999-08-20,10.0251
"162",1999-08-23,9.9303
"163",1999-08-24,9.8106
"164",1999-08-25,9.7149
"165",1999-08-26,9.7643
"166",1999-08-27,9.8069
"167",1999-08-30,NA
"168",1999-08-31,9.8965
"169",1999-09-02,9.9973
"170",1999-09-03,9.9825
"171",1999-09-06,9.907
"172",1999-09-07,9.8518
"173",1999-09-08,9.8987
"174",1999-09-09,9.8986
"175",1999-09-10,9.8066
"176",1999-09-13,9.6342
"177",1999-09-14,9.6711
"178",1999-09-15,9.6592
"179",1999-09-17,9.7498
"180",1999-09-20,9.7036
"181",1999-09-21,9.6876
"182",1999-09-22,9.7538
"183",1999-09-23,9.7149
"184",1999-09-24,9.785
"185",1999-09-27,9.7238
"186",1999-09-28,9.7999
"187",1999-09-29,9.8739
"188",1999-09-30,9.9681
"189",1999-10-01,10.0948
"190",1999-10-04,10.1413
