"","Fecha","Pesos por libra"
"1",1996-10-16,12.3574
"2",1996-10-17,12.3367
"3",1996-10-18,12.2779
"4",1996-10-21,12.3245
"5",1996-10-22,12.5359
"6",1996-10-23,12.5383
"7",1996-10-24,12.4821
"8",1996-10-25,12.6946
"9",1996-10-28,12.7351
"10",1996-10-29,12.7269
"11",1996-10-30,12.9474
"12",1996-10-31,13.1034
"13",1996-11-01,13.0671
"14",1996-11-04,12.9711
"15",1996-11-05,13.0407
"16",1996-11-06,13.015
"17",1996-11-07,13.0639
"18",1996-11-08,13.0248
"19",1996-11-11,13.0165
"20",1996-11-12,13.074
"21",1996-11-13,13.0847
"22",1996-11-14,13.1838
"23",1996-11-15,13.1552
"24",1996-11-18,13.1795
"25",1996-11-19,13.2188
"26",1996-11-21,13.2905
"27",1996-11-22,13.2586
"28",1996-11-25,13.3085
"29",1996-11-26,13.1434
"30",1996-11-27,13.2035
"31",1996-11-28,13.2284
"32",1996-11-29,13.28
"33",1996-12-02,13.2978
"34",1996-12-03,13.1551
"35",1996-12-04,12.9906
"36",1996-12-05,12.8251
"37",1996-12-06,13.0319
"38",1996-12-09,12.985
"39",1996-12-10,13.0129
"40",1996-12-11,13.031
"41",1996-12-13,13.0986
"42",1996-12-16,13.1552
"43",1996-12-17,13.1177
"44",1996-12-18,13.1849
"45",1996-12-19,13.1472
"46",1996-12-20,13.0597
"47",1996-12-23,13.1281
"48",1996-12-26,NA
"49",1996-12-27,13.2146
"50",1996-12-30,13.2659
"51",1996-12-31,13.3638
"52",1997-01-02,13.4583
"53",1997-01-03,13.3453
"54",1997-01-06,13.2561
"55",1997-01-07,13.2712
"56",1997-01-08,13.2106
"57",1997-01-09,13.2328
"58",1997-01-10,13.2256
"59",1997-01-13,13.0781
"60",1997-01-14,13.0362
"61",1997-01-15,13.1245
"62",1997-01-16,13.2023
"63",1997-01-17,13.1956
"64",1997-01-20,12.9593
"65",1997-01-21,12.9745
"66",1997-01-22,12.9001
"67",1997-01-23,12.7286
"68",1997-01-24,12.7513
"69",1997-01-27,12.6889
"70",1997-01-28,12.6399
"71",1997-01-29,12.6448
"72",1997-01-30,12.7062
"73",1997-01-31,12.5304
"74",1997-02-03,12.5413
"75",1997-02-04,12.7117
"76",1997-02-06,12.8336
"77",1997-02-07,12.7125
"78",1997-02-10,12.744
"79",1997-02-11,12.7754
"80",1997-02-12,12.7587
"81",1997-02-13,12.713
"82",1997-02-14,12.6058
"83",1997-02-17,12.5877
"84",1997-02-18,12.5027
"85",1997-02-19,12.6006
"86",1997-02-20,12.4633
"87",1997-02-21,12.5755
"88",1997-02-24,12.6212
"89",1997-02-25,12.6975
"90",1997-02-26,12.7508
"91",1997-02-27,12.7551
"92",1997-02-28,12.996
"93",1997-03-03,12.9886
"94",1997-03-04,12.8951
"95",1997-03-05,12.9626
"96",1997-03-06,12.8988
"97",1997-03-07,12.874
"98",1997-03-10,12.7225
"99",1997-03-11,12.8063
"100",1997-03-12,12.6645
"101",1997-03-13,12.8291
"102",1997-03-14,12.7423
"103",1997-03-17,12.7313
"104",1997-03-18,12.6194
