"","Fecha","Pesos por yen"
"1",1996-10-16,0.0695
"2",1996-10-17,0.0693
"3",1996-10-18,0.0687
"4",1996-10-21,0.0686
"5",1996-10-22,0.0697
"6",1996-10-23,0.0695
"7",1996-10-24,0.0694
"8",1996-10-25,0.0702
"9",1996-10-28,0.0691
"10",1996-10-29,0.0696
"11",1996-10-30,0.0698
"12",1996-10-31,0.0707
"13",1996-11-01,0.07
"14",1996-11-04,0.07
"15",1996-11-05,0.0693
"16",1996-11-06,0.0696
"17",1996-11-07,0.0711
"18",1996-11-08,0.0705
"19",1996-11-11,0.0711
"20",1996-11-12,0.0712
"21",1996-11-13,0.0711
"22",1996-11-14,0.0709
"23",1996-11-15,0.071
"24",1996-11-18,0.0709
"25",1996-11-19,0.0709
"26",1996-11-21,0.0708
"27",1996-11-22,0.0707
"28",1996-11-25,0.0704
"29",1996-11-26,0.07
"30",1996-11-27,0.0695
"31",1996-11-28,0.0694
"32",1996-11-29,0.0694
"33",1996-12-02,0.0695
"34",1996-12-03,0.0692
"35",1996-12-04,0.0695
"36",1996-12-05,0.0699
"37",1996-12-06,0.0707
"38",1996-12-09,0.0699
"39",1996-12-10,0.0695
"40",1996-12-11,0.0698
"41",1996-12-13,0.07
"42",1996-12-16,0.0696
"43",1996-12-17,0.0692
"44",1996-12-18,0.0693
"45",1996-12-19,0.069
"46",1996-12-20,0.0686
"47",1996-12-23,0.0686
"48",1996-12-26,NA
"49",1996-12-27,0.068
"50",1996-12-30,0.0677
"51",1996-12-31,0.0678
"52",1997-01-02,0.0682
"53",1997-01-03,0.068
"54",1997-01-06,0.0678
"55",1997-01-07,0.0679
"56",1997-01-08,0.0675
"57",1997-01-09,0.0673
"58",1997-01-10,0.0681
"59",1997-01-13,0.067
"60",1997-01-14,0.0664
"61",1997-01-15,0.0667
"62",1997-01-16,0.0668
"63",1997-01-17,0.0669
"64",1997-01-20,0.066
"65",1997-01-21,0.0662
"66",1997-01-22,0.0655
"67",1997-01-23,0.0653
"68",1997-01-24,0.0658
"69",1997-01-27,0.0656
"70",1997-01-28,0.065
"71",1997-01-29,0.0641
"72",1997-01-30,0.0644
"73",1997-01-31,0.0644
"74",1997-02-03,0.0641
"75",1997-02-04,0.0641
"76",1997-02-06,0.0632
"77",1997-02-07,0.0629
"78",1997-02-10,0.0636
"79",1997-02-11,0.0632
"80",1997-02-12,0.063
"81",1997-02-13,0.0628
"82",1997-02-14,0.0628
"83",1997-02-17,0.0626
"84",1997-02-18,0.0628
"85",1997-02-19,0.0629
"86",1997-02-20,0.0627
"87",1997-02-21,0.0632
"88",1997-02-24,0.0634
"89",1997-02-25,0.0636
"90",1997-02-26,0.0643
"91",1997-02-27,0.0648
"92",1997-02-28,0.0662
"93",1997-03-03,0.0665
"94",1997-03-04,0.0655
