"","Fecha","Tasa"
"1",2008-01-21,7.5
"2",2008-01-22,7.5
"3",2008-01-23,7.5
"4",2008-01-24,7.5
"5",2008-01-25,7.5
"6",2008-01-28,7.5
"7",2008-01-29,7.5
"8",2008-01-30,7.5
"9",2008-01-31,7.5
"10",2008-02-01,7.5
"11",2008-02-05,7.5
"12",2008-02-06,7.5
"13",2008-02-07,7.5
"14",2008-02-08,7.5
"15",2008-02-11,7.5
"16",2008-02-12,7.5
"17",2008-02-13,7.5
"18",2008-02-14,7.5
"19",2008-02-15,7.5
"20",2008-02-18,7.5
"21",2008-02-19,7.5
"22",2008-02-20,7.5
"23",2008-02-21,7.5
"24",2008-02-22,7.5
"25",2008-02-25,7.5
"26",2008-02-26,7.5
"27",2008-02-27,7.5
"28",2008-02-28,7.5
"29",2008-02-29,7.5
"30",2008-03-03,7.5
"31",2008-03-04,7.5
"32",2008-03-05,7.5
"33",2008-03-06,7.5
"34",2008-03-07,7.5
"35",2008-03-10,7.5
"36",2008-03-11,7.5
"37",2008-03-12,7.5
"38",2008-03-13,7.5
"39",2008-03-14,7.5
"40",2008-03-18,7.5
"41",2008-03-19,7.5
"42",2008-03-24,7.5
"43",2008-03-25,7.5
"44",2008-03-26,7.5
"45",2008-03-27,7.5
"46",2008-03-28,7.5
"47",2008-03-31,7.5
"48",2008-04-01,7.5
"49",2008-04-02,7.5
"50",2008-04-03,7.5
"51",2008-04-04,7.5
"52",2008-04-07,7.5
"53",2008-04-08,7.5
"54",2008-04-09,7.5
"55",2008-04-10,7.5
"56",2008-04-11,7.5
"57",2008-04-14,7.5
"58",2008-04-15,7.5
"59",2008-04-16,7.5
"60",2008-04-17,7.5
"61",2008-04-18,7.5
"62",2008-04-21,7.5
"63",2008-04-22,7.5
"64",2008-04-23,7.5
"65",2008-04-24,7.5
"66",2008-04-25,7.5
"67",2008-04-28,7.5
"68",2008-04-29,7.5
"69",2008-04-30,7.5
"70",2008-05-02,7.5
"71",2008-05-05,7.5
"72",2008-05-06,7.5
"73",2008-05-07,7.5
"74",2008-05-08,7.5
"75",2008-05-09,7.5
"76",2008-05-12,7.5
"77",2008-05-13,7.5
"78",2008-05-14,7.5
"79",2008-05-15,7.5
"80",2008-05-16,7.5
"81",2008-05-19,7.5
"82",2008-05-20,7.5
"83",2008-05-21,7.5
"84",2008-05-22,7.5
"85",2008-05-23,7.5
"86",2008-05-26,7.5
"87",2008-05-27,7.5
"88",2008-05-28,7.5
"89",2008-05-29,7.5
"90",2008-05-30,7.5
"91",2008-06-02,7.5
"92",2008-06-03,7.5
"93",2008-06-04,7.5
"94",2008-06-05,7.5
"95",2008-06-06,7.5
"96",2008-06-09,7.5
"97",2008-06-10,7.5
"98",2008-06-11,7.5
"99",2008-06-12,7.5
"100",2008-06-13,7.5
"101",2008-06-16,7.5
"102",2008-06-17,7.5
"103",2008-06-18,7.5
"104",2008-06-19,7.5
"105",2008-06-20,7.75
"106",2008-06-23,7.75
"107",2008-06-24,7.75
"108",2008-06-25,7.75
"109",2008-06-26,7.75
"110",2008-06-27,7.75
"111",2008-06-30,7.75
"112",2008-07-01,7.75
"113",2008-07-02,7.75
"114",2008-07-03,7.75
"115",2008-07-04,7.75
"116",2008-07-07,7.75
"117",2008-07-08,7.75
"118",2008-07-09,7.75
"119",2008-07-10,7.75
"120",2008-07-11,7.75
"121",2008-07-14,7.75
"122",2008-07-15,7.75
"123",2008-07-16,7.75
"124",2008-07-17,7.75
"125",2008-07-18,8
"126",2008-07-21,8
"127",2008-07-22,8
"128",2008-07-23,8
"129",2008-07-24,8
"130",2008-07-25,8
"131",2008-07-28,8
"132",2008-07-29,8
"133",2008-07-30,8
"134",2008-07-31,8
"135",2008-08-01,8
"136",2008-08-04,8
"137",2008-08-05,8
"138",2008-08-06,8
"139",2008-08-07,8
"140",2008-08-08,8
"141",2008-08-11,8
"142",2008-08-12,8
"143",2008-08-13,8
"144",2008-08-14,8
"145",2008-08-15,8.25
"146",2008-08-18,8.25
"147",2008-08-19,8.25
"148",2008-08-20,8.25
"149",2008-08-21,8.25
"150",2008-08-22,8.25
"151",2008-08-25,8.25
"152",2008-08-26,8.25
"153",2008-08-27,8.25
"154",2008-08-28,8.25
"155",2008-08-29,8.25
"156",2008-09-01,8.25
"157",2008-09-02,8.25
"158",2008-09-03,8.25
