"","Fecha","Tasa"
"1",2000-08-02,16.765
"2",2000-08-09,16.88
"3",2000-08-16,17.05
"4",2000-08-23,16.8
"5",2000-08-30,16.705
"6",2000-09-06,16.685
"7",2000-09-13,17.035
"8",2000-09-20,17.55
"9",2000-09-27,17.24
"10",2000-10-04,17.575
"11",2000-10-11,17.365
"12",2000-10-18,18.5
"13",2000-10-25,18.5
"14",2000-10-31,18.3262
"15",2000-11-08,18.845
"16",2000-11-15,18.795
"17",2000-11-22,18.925
"18",2000-11-29,18.925
"19",2000-12-06,18.45
"20",2000-12-13,18.05
"21",2000-12-20,18.6
"22",2000-12-27,18.47
"23",2001-01-03,19.025
"24",2001-01-10,18.065
"25",2001-01-17,19.4
"26",2001-01-24,18.9375
"27",2001-01-31,18.37
"28",2001-02-07,18.515
"29",2001-02-14,18.275
"30",2001-02-21,18.275
"31",2001-02-28,17.52
"32",2001-03-07,17.33
"33",2001-03-14,17.14
"34",2001-03-20,17.185
"35",2001-03-28,16.91
"36",2001-04-04,16.8
"37",2001-04-10,16.635
"38",2001-04-18,16.06
"39",2001-04-25,15.745
"40",2001-05-02,15.44
"41",2001-05-09,15.35
"42",2001-05-16,14.92
"43",2001-05-23,12.7
"44",2001-05-30,12.67
"45",2001-06-06,12.7
"46",2001-06-13,11.675
"47",2001-06-20,11.65
"48",2001-06-27,11.565
"49",2001-07-04,11.42
"50",2001-07-11,12.3
"51",2001-07-18,11.74
"52",2001-07-25,10.95
"53",2001-08-01,10.6
"54",2001-08-08,10.4
"55",2001-08-15,10.365
"56",2001-08-22,9.34
"57",2001-08-29,10.4
"58",2001-09-05,12.125
"59",2001-09-13,12.275
"60",2001-09-19,12.025
"61",2001-09-26,12.34
"62",2001-10-03,11.965
"63",2001-10-10,11.6
"64",2001-10-17,10.885
"65",2001-10-24,10.2
"66",2001-10-31,10.45
"67",2001-11-07,10.25
"68",2001-11-14,10.2
"69",2001-11-21,9.865
"70",2001-11-28,10.3
"71",2001-12-05,9.8
"72",2001-12-11,8.625
"73",2001-12-19,8.65
"74",2001-12-26,8.39
"75",2002-01-02,8.115
"76",2002-01-09,8.05
"77",2002-01-16,8.15
"78",2002-01-23,8.48
"79",2002-01-30,9.4
"80",2002-02-06,8.975
"81",2002-02-13,9.38
"82",2002-02-20,9.19
"83",2002-02-27,8.7
"84",2002-03-06,8.3
"85",2002-03-13,8.6
"86",2002-03-19,9.05
"87",2002-03-26,8.5
"88",2002-04-03,7.75
"89",2002-04-10,7.33
"90",2002-04-17,6.875
"91",2002-04-24,6.525
"92",2002-04-30,6.85
"93",2002-05-08,7.515
"94",2002-05-15,7.85
"95",2002-05-22,7.95
"96",2002-05-29,7.975
"97",2002-06-05,8.1
"98",2002-06-12,8.2
"99",2002-06-19,7.965
"100",2002-06-26,10.35
"101",2002-07-03,9.475
"102",2002-07-10,8.72
"103",2002-07-17,8.475
"104",2002-07-24,8.25
"105",2002-07-31,8.2
"106",2002-08-07,7.9
"107",2002-08-14,7.885
"108",2002-08-21,7.85
"109",2002-08-28,7.915
"110",2002-09-04,8.2
"111",2002-09-11,8.075
"112",2002-09-18,8.575
"113",2002-09-25,10.125
"114",2002-10-02,9.215
"115",2002-10-09,9.48
"116",2002-10-16,8.975
"117",2002-10-23,8.75
"118",2002-10-30,9.065
"119",2002-11-06,8.85
"120",2002-11-13,8.89
"121",2002-11-19,8.64
"122",2002-11-27,8.54
"123",2002-12-04,8.475
"124",2002-12-10,8.765
"125",2002-12-18,8.675
"126",2002-12-24,8.65
"127",2002-12-31,9
"128",2003-01-08,8.98
"129",2003-01-15,9.1
"130",2003-01-22,9.925
"131",2003-01-29,9.915
"132",2003-02-04,9.79
"133",2003-02-12,9.915
"134",2003-02-19,9.7
"135",2003-02-26,10
"136",2003-03-05,10.675
"137",2003-03-12,10.3
"138",2003-03-19,9.75
"139",2003-03-26,9.415
"140",2003-04-02,9.405
"141",2003-04-09,9.11
"142",2003-04-15,8.9
"143",2003-04-23,8.5
"144",2003-04-29,7.575
"145",2003-05-07,7.35
"146",2003-05-14,6.7
"147",2003-05-21,6.545
"148",2003-05-28,6.375
"149",2003-06-04,6.27
"150",2003-06-11,6.38
"151",2003-06-18,6.375
"152",2003-06-25,5.75
"153",2003-07-02,5.765
"154",2003-07-09,5.845
"155",2003-07-16,5.85
"156",2003-07-23,5.63
"157",2003-07-30,5.39
"158",2003-08-06,5.595
"159",2003-08-13,5.5
"160",2003-08-20,5.425
"161",2003-08-27,5.63
"162",2003-09-03,5.61
"163",2003-09-10,5.485
"164",2003-09-17,5.465
"165",2003-09-24,5.45
"166",2003-10-01,5.35
"167",2003-10-08,6.125
"168",2003-10-15,6.345
"169",2003-10-22,6.125
